4430301203,"Frank gutie","Bogotá, D.C., Colombia"
276746363,"Yanneth Alvarez M.","Duitama, Boyacá"
1054949095,"A Ramirez",""
970804908151787522,"Juan David","Colombia, Colombia"
92210551,"Diego Gómez","Bogotá"
2155905160,"santiago lopez ","Venezuela"
2422919269,"DesdeLaBarrera",""
768437725,"Sistemas 20/20",""
83395810,"Andres Meneses","Bogotá D.C"
14106829,"Alex Steffen","San Francisco"
774284017956945920,"JaimeFernándezMolano","Orinoquia colombiana"
388273926,"Pensamiento Dinámico","Bogota"
207113339,"Pánfilo_Pataquivo","tunja"
469539797,"Leo","Colombia"
872181988177977345,"TATADIAZAVELLANEDA",""
291688776,"Julian Vargas Guauke","Bogotá D.C. - Colombia"
4925990326,"Duver.",""
956479790,"Ignacio Guimpert",""
238210589,"NOTICIAS VALLEDUPAR","Valledupar, Colombia"
361026987,"Aldo Beltran","Bogotá"
2892164177,"?ECRQ?","Bogota, Colombia"
91456838,"Ana Catalina","Bogota-Colombia"
112412293,"La Hora de La Verdad","Bogotá- Colombia"
703292867440152576,"Hector Porras",""
520675120,"Daniel Torres","Tunja, Colombia"
833741794911338497,"Marta Lucía Rivera m","Cartagena"
355882358,"CR7DR","Miami, FL"
954857641,"Bumjoon Kang",""
59950032,"Andres Moreno J ?","Bogotá, D.C., Colombia"
741950556651065345,"yousef-alhriri","???? ??????? ??????? ???????? "
998591065799254016,"Carlos Hernán Zarama Woodcock","PASTO NARIÑO"
774063248702398464,"Germán Rivera R","Bogotá, D.C., Colombia"
872855884329832448,"Juntos Somos Más","Bogotá, D.C., Colombia"
517119637,"Diego","Medellin, Antioquia"
153848161,"Isabel Fletcher","London"
797875243033522176,"Fabio Cely",""
902358327165845504,"Betweenuturns",""
279646438,"Daniel Orjuela","Colombia"
161139156,"fernando lopez",""
106235418,"Sophie Mz",""
198396803,"Alejandra Dulcey","Barranquilla, Atlántico"
150915246,"Julian Arevalo P","Colombia"
3047683574,"luis vasquez","San Cristóbal, Venezuela"
1234536900,"Beto",""
354653554,"Ed Cast&blanc","Bogota-Colombia "
285036718,"Liliana Cardenas",""
3983617318,"Dayanaaa","Colombia/Bogota."
188713830,"John Gutiérrez","Bogotá, CO / Staten Island, NY"
35816059,"Jorge Senior","Colombia"
393156401,"Jose Eduardo Ospina","Colombia "
2413547450,"Crédulo",""
1058101893275283468,"andrea concepcion",""
971944155583860737,"Clau B",""
211766523,"Dayro Reyes Acosta",""
289444133,"Rod Milligan","Glasgow, Scotland"
170445389,"Aj Terros","Bogotá"
708863834245767169,"Javier Gomez",""
177834738,"Camilo D","Bogotá, D.C., Colombia"
961773482769113089,"alex ernesto camaña rojas","Barranquilla, Colombia"
1007811561484939264,"Carlos Humánez Díaz",""
3091019856,"Feider Murillo",""
219336060,"#VandalismoEsDejarnosSinEducación","Bogotá, D.C., Colombia"
2885249943,"Y","Bogotá, D.C., Colombia"
75777268,"MAURO D.C","Bogotá"
1457116842,"Carlos Hernández",""
458480423,"Taras Grescoe","Montreal"
999472100,"Caingonga",""
268029838,"junin",""
3170221197,"jorge leal",""
3107993914,"?","anywhere"
584950438,"Ola Política","Colombia"
1008931021428088832,"juanmiguelproa","Bogotá, D.C., Colombia"
694979361389334528,"Andres Zapata",""
959795613587197952,"Si a la Paz",""
815246115482243072,"Juancaca",""
223907291,"Pasajero 7","Jalisco, México"
236195472,"Edwin Leonardo Perez","Bogotá"
752140873178214400,"tor2373",""
2459226654,"Luis Ovalle ???","Colombia"
3043653089,"ernesto cano gallego",""
202165376,"??Juan Carlos Delgado??","Bogotá, Colombia"
707204555457601536,"Owner",""
991042168298012673,"Dylan Steven Rosero Lion","Bogotá, D.C., Colombia"
1032197647757729793,"LauraFlorez",""
71287982,"Daniel Lozano","Bogota"
291508725,"David Erazo","Bogotá, Colombia."
9633802,"EL TIEMPO","Bogotá, Colombia"
2357349401,"Alejandro ?",""
1599021012,"Carlos H Gutiérrez","Cali, Valle del Cauca"
372938407,"Luis Alberto Garcia","valledupar, cesar"
155748822,"Capitán Pupuchurrito Pantalones Deliciosos","Paradise City"
146278439,"Leonardo León","Bogotá"
994324628507066369,"Irene Aguilera","Barranquilla, Colombia"
3323643579,"Rodolfo",""
245616128,"daniel delgado ?",""
3222339765,"Lauraaaa ?¥ ??","Bogotá, D.C., Colombia"
259936216,"? Dardanelos ?","Bogotá, D.C., Colombia"
208358605,"alex",""
127911736,"ana maria torres",""
966505462979063808,"PRODESARROLLO Y GESTION","Bogotá, D.C., Colombia"
46695013,"Micifú ?","Fusa - Bogota.  Colombia"
223923702,"Pedro Hernández",""
956377903637450752,"Harold Sanchez","Bogotá, D.C., Colombia"
814230327598182400,"Bogotá Lógica","Bogotá, D.C., Colombia"
915125816,"Javier Gómez","Bogotá"
260018124,"Javier Luna Garcia","Donde Mery"
348279926,"Camilo O","Occidente del Atlas"
363386142,"Carolina..",""
1009707242525020160,"@JEGoyenecheF","Santander, Colombia"
825766272,"marsela",""
292016606,"David Saker","Barranquilla"
378377780,"Nilson Mayorga","bogota"
1428133285,"Edgardo Arias M",""
1197754334,"Mi Espacio es Bogotá","Cra 30 N° 25-90 Piso 15"
217533516,"Manuel Uscátegui","Colombia -  Bogota D.C"
221990278,"CAMILO HIGUERA",""
1027120233687990272,"El Temple","Colombia"
475389078,"Ivan Poduje","Gran Santiago-Gran Valparaíso"
57754551,"Diana Sofía ?","Bogotá, D.C., Colombia"
133154600,"Teo Ciorán","Bogota, Colombia"
148178973,"Rezahe","Bogota"
1010596706977796097,"Shots de Ciencia","Bogotá, D.C., Colombia"
99370272,"Andres Ruge","Bogotá Colombia "
578675373,"HUMANA RADIO ?","Colombia"
2551929033,"Aydanan",""
233671994,"FUNDEPARAMOS","Bogotá, Colombia"
114476554,"LmC.","Neiva Huila"
60687175,"JulianPacheco","Florencia, Caquetá, Colombia"
